DATE,POILBREUSDQ
2015-01-01,54.5705757575757
2015-04-01,62.5467243867244
2015-07-01,50.7979430955518
2015-10-01,44.175606374302
2016-01-01,35.1999309868875
2016-04-01,46.9809163059163
2016-07-01,47.0091878411444
2016-10-01,51.1262698412698
2017-01-01,54.8207088274045
2017-04-01,51.0016916996047
2017-07-01,52.246259489303
2017-10-01,61.4790043290043
2018-01-01,67.1591495388669
2018-04-01,74.8900207039338
2018-07-01,76.0811317523057
2018-10-01,68.3200699542004
2019-01-01,63.7568957902001
2019-04-01,68.3578465085639
2019-07-01,62.1237693707259
2019-10-01,62.5553842775582
2020-01-01,51.1789894598155
2020-04-01,33.3771572871573
2020-07-01,43.4346329757199
2020-10-01,45.3445915678524
2021-01-01,61.1277829537612
2021-04-01,69.1399278499279
2021-07-01,73.2469696969697
2021-10-01,79.8113178367526
2022-01-01,97.443126984127
2022-04-01,111.987359307359
2022-07-01,97.8346941464333
2022-10-01,88.7201298701299
2023-01-01,82.3236133069829
